CONTENT_TYPE_ID,CREATED_AT,ID,PUBLISHED,PUBLISHED_AT,PUBLISH_AT,UPDATED_AT,_SDC_BATCHED_AT,_SDC_RECEIVED_AT,_SDC_SEQUENCE,_SDC_TABLE_VERSION
12,2025-07-11 10:11:19.131000000 +00:00,603629,true,2025-07-11 10:11:19.142000000 +00:00,,2025-07-11 10:11:19.144000000 +00:00,2025-09-17 22:11:02.100000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147024054898230,1758147013551
12,2025-06-04 09:58:26.764000000 +00:00,137316,true,2025-06-04 09:58:26.779000000 +00:00,,2025-06-04 09:58:26.782000000 +00:00,2025-09-17 22:10:47.957000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147016853807810,1758147013551
12,2025-06-27 10:53:31.417000000 +00:00,387960,true,2025-06-27 10:53:31.429000000 +00:00,,2025-06-27 10:53:31.431000000 +00:00,2025-09-17 22:10:55.570000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147020759384224,1758147013551
12,2025-05-29 22:01:01.326000000 +00:00,8853,true,2025-05-29 22:01:01.349000000 +00:00,,2025-05-29 22:01:01.357000000 +00:00,2025-09-17 22:10:44.090000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147013947940700,1758147013551
12,2025-06-25 10:20:41.628000000 +00:00,193121,true,2025-06-25 10:20:41.638000000 +00:00,,2025-06-25 10:20:41.641000000 +00:00,2025-09-17 22:10:49.595000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147017749397279,1758147013551
12,2025-07-11 10:46:11.033000000 +00:00,658226,true,2025-07-11 10:46:11.045000000 +00:00,,2025-07-11 10:46:11.048000000 +00:00,2025-09-17 22:11:03.705000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147024793551473,1758147013551
12,2025-05-29 22:54:43.518000000 +00:00,79682,true,2025-05-29 22:54:43.530000000 +00:00,,2025-05-29 22:54:43.532000000 +00:00,2025-09-17 22:10:46.186000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147015049050969,1758147013551
12,2025-07-11 10:22:01.106000000 +00:00,621054,true,2025-07-11 10:22:01.118000000 +00:00,,2025-07-11 10:22:01.120000000 +00:00,2025-09-17 22:11:02.613000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147024315451906,1758147013551
12,2025-06-27 09:53:05.263000000 +00:00,293355,true,2025-06-27 09:53:05.290000000 +00:00,,2025-06-27 09:53:05.294000000 +00:00,2025-09-17 22:10:52.585000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147019303949353,1758147013551
12,2025-07-11 10:28:59.400000000 +00:00,630653,true,2025-07-11 10:28:59.410000000 +00:00,,2025-07-11 10:28:59.412000000 +00:00,2025-09-17 22:11:02.896000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147024420766276,1758147013551
