CMS_ENTRY_ID,CREATED_AT,ID,READ_AT,UPDATED_AT,USER_ID,_SDC_BATCHED_AT,_SDC_RECEIVED_AT,_SDC_SEQUENCE,_SDC_TABLE_VERSION
12,2025-04-10 15:12:17.445000000 +00:00,37515,2025-04-10 15:12:22.158000000 +00:00,2025-04-10 15:12:22.159000000 +00:00,10214,2025-11-10 18:56:40.366000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800223706777094,1762800222882
137594,2025-06-06 16:19:40.619000000 +00:00,474188,,2025-06-06 16:19:40.619000000 +00:00,80107,2025-11-10 18:56:53.589000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800230958913423,1762800222882
316282,2025-06-27 10:07:52.909000000 +00:00,930750,,2025-06-27 10:07:52.909000000 +00:00,281153,2025-11-10 18:57:06.888000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800237332734870,1762800222882
137594,2025-06-06 16:05:47.801000000 +00:00,430858,,2025-06-06 16:05:47.801000000 +00:00,16209,2025-11-10 18:56:52.271000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800230367928904,1762800222882
236977,2025-06-25 10:48:02.769000000 +00:00,747663,,2025-06-25 10:48:02.769000000 +00:00,65145,2025-11-10 18:57:01.202000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800234707781794,1762800222882
257982,2025-06-25 10:59:53.081000000 +00:00,768668,,2025-06-25 10:59:53.081000000 +00:00,1713260,2025-11-10 18:57:01.859000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800235012017365,1762800222882
172548,2025-06-25 10:08:26.177000000 +00:00,683211,,2025-06-25 10:08:26.177000000 +00:00,642378,2025-11-10 18:56:59.198000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800233704559986,1762800222882
918838,2025-08-04 02:01:15.883000000 +00:00,1610137,,2025-08-04 02:01:15.883000000 +00:00,126406,2025-11-10 18:57:28.606000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800247155930576,1762800222882
529969,2025-07-04 09:51:12.128000000 +00:00,1162612,,2025-07-04 09:51:12.128000000 +00:00,1132265,2025-11-10 18:57:14.108000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800240712276420,1762800222882
37,2025-05-16 09:14:33.137000000 +00:00,150561,,2025-05-16 09:14:33.137000000 +00:00,1013864,2025-11-10 18:56:43.956000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800226199086611,1762800222882
464205,2025-06-27 11:41:26.863000000 +00:00,1078713,2025-07-30 21:48:34.174000000 +00:00,2025-07-30 21:48:34.175000000 +00:00,157070,2025-11-10 18:57:11.506000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800239488127687,1762800222882
8999,2025-05-29 22:01:08.342000000 +00:00,226181,,2025-05-29 22:01:08.342000000 +00:00,19403,2025-11-10 18:56:46.367000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800227502709594,1762800222882
265210,2025-06-27 09:18:57.531000000 +00:00,879678,2025-06-30 15:03:46.013000000 +00:00,2025-06-30 15:03:46.014000000 +00:00,9847,2025-11-10 18:57:05.306000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800236576234740,1762800222882
424389,2025-06-27 11:16:57.308000000 +00:00,1038884,,2025-06-27 11:16:57.308000000 +00:00,556965,2025-11-10 18:57:10.253000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800238916308671,1762800222882
903524,2025-08-01 09:42:50.477000000 +00:00,1586529,,2025-08-01 09:42:50.477000000 +00:00,797008,2025-11-10 18:57:27.844000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800246817340864,1762800222882
17,2025-05-04 05:20:24.582000000 +00:00,73466,2025-05-04 05:20:30.415000000 +00:00,2025-05-04 05:20:30.415000000 +00:00,151951,2025-11-10 18:56:41.490000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800224569782698,1762800222882
530449,2025-07-09 13:30:51.727000000 +00:00,1167565,,2025-07-09 13:30:51.727000000 +00:00,1727056,2025-11-10 18:57:14.256000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800240846494783,1762800222882
41,2025-05-30 00:43:34.941000000 +00:00,353276,2025-05-30 00:43:37.495000000 +00:00,2025-05-30 00:43:37.496000000 +00:00,1709565,2025-11-10 18:56:50.366000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800229428868635,1762800222882
55281,2025-05-29 22:36:45.152000000 +00:00,272463,,2025-05-29 22:36:45.152000000 +00:00,1131664,2025-11-10 18:56:47.825000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800228206162945,1762800222882
137594,2025-06-06 16:35:52.380000000 +00:00,529626,,2025-06-06 16:35:52.380000000 +00:00,690826,2025-11-10 18:56:55.304000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800231794002559,1762800222882
14072,2025-05-29 22:04:46.055000000 +00:00,231254,,2025-05-29 22:04:46.055000000 +00:00,30358,2025-11-10 18:56:46.523000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800227563770813,1762800222882
259768,2025-06-26 18:32:41.019000000 +00:00,828533,,2025-06-26 18:32:41.019000000 +00:00,1538891,2025-11-10 18:57:03.700000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800235865114970,1762800222882
627862,2025-07-11 10:27:18.061000000 +00:00,1301401,,2025-07-11 10:27:18.061000000 +00:00,2435,2025-11-10 18:57:18.472000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800242817106860,1762800222882
597737,2025-07-11 10:07:40.214000000 +00:00,1271276,2025-07-22 04:11:02.698000000 +00:00,2025-07-22 04:11:02.698000000 +00:00,65215,2025-11-10 18:57:17.484000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800242388395354,1762800222882
422650,2025-06-27 11:15:50.507000000 +00:00,1037145,,2025-06-27 11:15:50.507000000 +00:00,256049,2025-11-10 18:57:10.200000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800238901659163,1762800222882
137594,2025-06-06 16:26:42.199000000 +00:00,497486,,2025-06-06 16:26:42.199000000 +00:00,151401,2025-11-10 18:56:54.329000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800231359810457,1762800222882
