PROPERTY_KEY,POPULATED_ROWS,SAMPLE_N,POPULATED_PCT
cue_sheet_download_count,12,17522,0.068
sdr_emails_generated_from_thirdchair_data,12,17522,0.068
first_cue_sheet_downloaded_at,12,17522,0.068
outbound_deck_url,12,17522,0.068
termination_date,11,17522,0.063
zoom_webinar_attendance_count,11,17522,0.063
zoom_webinar_attendance_average_duration,11,17522,0.063
zoom_webinar_joinlink,11,17522,0.063
media,11,17522,0.063
prosperstack__what_other_music_licensing_service_are_you_using_or_plan_on_using_,11,17522,0.063
zoom_webinar_registration_count,11,17522,0.063
cb_subcst_start_date,10,17522,0.057
term,9,17522,0.051
prosperstack__how_likely_are_you_to_recommend_soundstripe_to_a_friend_or_colleague_,9,17522,0.051
distribution_type,9,17522,0.051
prosperstack__why_do_you_no_longer_need_a_soundstripe_subscription_,9,17522,0.051
wcpm_addon_state,9,17522,0.051
care_team__what_is_your_primary_reason_for_leaving_,9,17522,0.051
prosperstack__how_likely_are_you_to_return_to_soundstripe_,9,17522,0.051
song_title,9,17522,0.051
number_of_songs,9,17522,0.051
song_artist,9,17522,0.051
type_of_media,9,17522,0.051
territory,9,17522,0.051
wcpm_addon_currentstate_timestamo,9,17522,0.051
cb_billingcountryiso,8,17522,0.046
cb_dueinvoicescount,8,17522,0.046
cb_paymentmethodtype,8,17522,0.046
cb_paymentmethodstatus,8,17522,0.046
cb_planquantity,8,17522,0.046
cb_billingfirstname,8,17522,0.046
n3q2024_campaign_launch_date,8,17522,0.046
which_playlist_would_you_prefer,8,17522,0.046
cb_subcst_plan_amount,8,17522,0.046
n1q2025_campaign,8,17522,0.046
hs_content_membership_email,8,17522,0.046
cb_totaldues,8,17522,0.046
cb_subcst_currency_code,8,17522,0.046
cb_billingcountry,8,17522,0.046
hs_content_membership_registration_email_sent_at,8,17522,0.046
cb_nextbillingamount,8,17522,0.046
hs_all_assigned_business_unit_ids,8,17522,0.046
cb_subscriptionmrr,8,17522,0.046
cb_product,8,17522,0.046
cb_setupfee,8,17522,0.046
hs_content_membership_registration_domain_sent_to,8,17522,0.046
hs_feedback_last_csat_survey_follow_up,8,17522,0.046
cb_subscriptiostatus,8,17522,0.046
cb_subscriptionid,8,17522,0.046
reactivation_request,8,17522,0.046
last_single_use_sound_effect_license_date,7,17522,0.040
cb_billinglastname,7,17522,0.040
song_id,6,17522,0.034
broadcast_distribution,6,17522,0.034
time_in_mql_stage__hours_,6,17522,0.034
temp_outbound_enrollment_date,6,17522,0.034
pql_creation_time,6,17522,0.034
pql_creation_time_segment,6,17522,0.034
n3q_2024,6,17522,0.034
hs_merged_object_ids,6,17522,0.034
pql_creation_time_string,6,17522,0.034
crisp_check,5,17522,0.029
music_budget,5,17522,0.029
cb_nextbillingat,5,17522,0.029
prosperstack__based_on_your_experience__how_can_we_improve_,5,17522,0.029
growth___discount_type,5,17522,0.029
pql_manual_push_check,4,17522,0.023
hs_v2_latest_time_in_258326067,4,17522,0.023
prosperstack__how_can_we_improve_our_music_,4,17522,0.023
job_function,4,17522,0.023
outbound_campaign_personalization_play,4,17522,0.023
hs_v2_cumulative_time_in_258326067,4,17522,0.023
wcpm_transactional_purchase_count,4,17522,0.023
twitter_url,4,17522,0.023
cb_billingzip,4,17522,0.023
third_chair_popular_music_findings,4,17522,0.023
hs_v2_date_exited_258326067,4,17522,0.023
genre_s_,3,17522,0.017
hs_v2_cumulative_time_in_258322204,3,17522,0.017
subscription_term,3,17522,0.017
cb_remainingbillingcycles,3,17522,0.017
identify_gender,3,17522,0.017
screenshot_of_the_claim,3,17522,0.017
hs_v2_date_exited_258322204,3,17522,0.017
hs_v2_latest_time_in_258322204,3,17522,0.017
cart_items,3,17522,0.017
other_type_of_media,3,17522,0.017
video_url,3,17522,0.017
artist___moniker_name,3,17522,0.017
twitch_subscription_purchase_date,3,17522,0.017
prosperstack__will_you_tell_us_more_about_the_issue_you_had__with_soundstripe__,3,17522,0.017
production_company,3,17522,0.017
platform___account_type,3,17522,0.017
reason_for_no_sdr_email_personalization,3,17522,0.017
client_name,3,17522,0.017
up_list_targeting,3,17522,0.017
answered__happy_,3,17522,0.017
wedding_tips___tricks_download_date,3,17522,0.017
please_provide_a_message_to_our_team_with_any_additional_context_surrounding_your_claims_issue_expe,3,17522,0.017
customer_care_card_sent_month,3,17522,0.017
link_s__to_socials,2,17522,0.011
video_upgrade_request,2,17522,0.011
artist___producer___manager_or_representative__could_be_both_artist_and_producer_,2,17522,0.011
notes_next_activity_date,2,17522,0.011
prosperstack__which_product_features_did_not_meet_your_needs_,2,17522,0.011
ihaf_extended_contact,2,17522,0.011
thirdchair_personalization_email_2,2,17522,0.011
thirdchair_personalization_email_4,2,17522,0.011
link_s__to_music,2,17522,0.011
working_campaign_title,2,17522,0.011
other_distribution_type,2,17522,0.011
brand_client,2,17522,0.011
how_would_you_best_describe_yourself__check_the_following_that_apply_to_you__,2,17522,0.011
check_related_option,2,17522,0.011
social_links,2,17522,0.011
thirdchair_personalization_email_3,2,17522,0.011
check_the_following_that_apply_to_you_,2,17522,0.011
adobe_group,2,17522,0.011
became_a_exclude_lead_status,2,17522,0.011
sync_wars___contest_agreement_agreement__checkbox_,2,17522,0.011
song_title_and_or_url,2,17522,0.011
music_links_options,2,17522,0.011
numemployees,2,17522,0.011
link_to_sync_wars_song__downloadable__wav__or__mp3_files_not_accepted_,2,17522,0.011
thirdchair_personalization_email_1,2,17522,0.011
persona_market,1,17522,0.006
hs_contact_enrichment_opt_out,1,17522,0.006
hs_contact_enrichment_opt_out_timestamp,1,17522,0.006
jeffs_personalized_email_3,1,17522,0.006
coverage,1,17522,0.006
licensee,1,17522,0.006
org_client_aud_size,1,17522,0.006
jeffs_personalized_email_1,1,17522,0.006
answered__neutral_,1,17522,0.006
marketplace_song_id,1,17522,0.006
registered_,1,17522,0.006
marketplace_song_label,1,17522,0.006
temp,1,17522,0.006
attended_,1,17522,0.006
paste_link,1,17522,0.006
non_profit,1,17522,0.006
bpdg___discount_type,1,17522,0.006
business_name,1,17522,0.006
paste_music_link,1,17522,0.006
jeffs_personalized_email_2,1,17522,0.006
marketplace_sale_created_at,1,17522,0.006
marketplace_song_artist,1,17522,0.006
total_amount,1,17522,0.006
marketplace_sale_id,1,17522,0.006
profiler__business_type___business,1,17522,0.006
marketplace_song_title,1,17522,0.006
last_enrollment_date_to_abandoned_cart_workflow,1,17522,0.006
multi_use,1,17522,0.006
website_link,1,17522,0.006
project_name,1,17522,0.006
marketplace_song_publisher,1,17522,0.006
production_type,1,17522,0.006
wcpm_last_transactional_purchase_date,1,17522,0.006
distributions,1,17522,0.006
ready_for_jeffs_personalized_email_sequence,1,17522,0.006
have_you_had_any_prior_sync_placements___if_yes__add_link_or_onesheet_here_,1,17522,0.006
hs_bing_click_id,1,17522,0.006
prosperstack__which_royalty_free_content_provider_do_you_plan_to_use_moving_forward_,1,17522,0.006
