DATE,METRIC_NAME,METRIC_VALUE,MR,X_BAR,MR_BAR,UNPL,LNPL,URL,SIGNAL_RULE_1,SIGNAL_RULE_2,SIGNAL_RULE_3,MR_SIGNAL,ANY_SIGNAL
2023-05-04,ACTIVE_MONTHLY_SUBSCRIBERS,17470,3,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-05-05,ACTIVE_MONTHLY_SUBSCRIBERS,17469,1,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-05-06,ACTIVE_MONTHLY_SUBSCRIBERS,17448,21,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-05-07,ACTIVE_MONTHLY_SUBSCRIBERS,17438,10,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-05-08,ACTIVE_MONTHLY_SUBSCRIBERS,17479,41,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,true,true
2023-05-09,ACTIVE_MONTHLY_SUBSCRIBERS,17471,8,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-05-10,ACTIVE_MONTHLY_SUBSCRIBERS,17471,0,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-05-11,ACTIVE_MONTHLY_SUBSCRIBERS,17488,17,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-05-12,ACTIVE_MONTHLY_SUBSCRIBERS,17482,6,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-05-13,ACTIVE_MONTHLY_SUBSCRIBERS,17471,11,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-05-14,ACTIVE_MONTHLY_SUBSCRIBERS,17458,13,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-05-15,ACTIVE_MONTHLY_SUBSCRIBERS,17468,10,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-05-16,ACTIVE_MONTHLY_SUBSCRIBERS,17476,8,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-05-17,ACTIVE_MONTHLY_SUBSCRIBERS,17500,24,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-05-18,ACTIVE_MONTHLY_SUBSCRIBERS,17515,15,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-05-19,ACTIVE_MONTHLY_SUBSCRIBERS,17506,9,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-05-20,ACTIVE_MONTHLY_SUBSCRIBERS,17489,17,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-05-21,ACTIVE_MONTHLY_SUBSCRIBERS,17481,8,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-05-22,ACTIVE_MONTHLY_SUBSCRIBERS,17503,22,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-05-23,ACTIVE_MONTHLY_SUBSCRIBERS,17517,14,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-05-24,ACTIVE_MONTHLY_SUBSCRIBERS,17529,12,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-05-25,ACTIVE_MONTHLY_SUBSCRIBERS,17531,2,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-05-26,ACTIVE_MONTHLY_SUBSCRIBERS,17541,10,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-05-27,ACTIVE_MONTHLY_SUBSCRIBERS,17536,5,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-05-28,ACTIVE_MONTHLY_SUBSCRIBERS,17530,6,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-05-29,ACTIVE_MONTHLY_SUBSCRIBERS,17536,6,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-05-30,ACTIVE_MONTHLY_SUBSCRIBERS,17544,8,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-05-31,ACTIVE_MONTHLY_SUBSCRIBERS,17575,31,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
