DATE,METRIC_NAME,YOY_DELTA,MR,X_BAR,MR_BAR,UNPL,LNPL,URL,SIGNAL_RULE_1,SIGNAL_RULE_2,SIGNAL_RULE_3,MR_SIGNAL,ANY_SIGNAL
2024-05-08,DELTA_ACTIVE_SUBSCRIBERS,-5786,21,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-05-09,DELTA_ACTIVE_SUBSCRIBERS,-5786,0,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-05-10,DELTA_ACTIVE_SUBSCRIBERS,-5808,22,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-05-11,DELTA_ACTIVE_SUBSCRIBERS,-5797,11,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-05-12,DELTA_ACTIVE_SUBSCRIBERS,-5804,7,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-05-13,DELTA_ACTIVE_SUBSCRIBERS,-5797,7,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-05-14,DELTA_ACTIVE_SUBSCRIBERS,-5800,3,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-05-15,DELTA_ACTIVE_SUBSCRIBERS,-5794,6,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-05-16,DELTA_ACTIVE_SUBSCRIBERS,-5808,14,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-05-17,DELTA_ACTIVE_SUBSCRIBERS,-5822,14,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-05-18,DELTA_ACTIVE_SUBSCRIBERS,-5812,10,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-05-19,DELTA_ACTIVE_SUBSCRIBERS,-5766,46,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-05-20,DELTA_ACTIVE_SUBSCRIBERS,-5739,27,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-05-21,DELTA_ACTIVE_SUBSCRIBERS,-5774,35,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-05-22,DELTA_ACTIVE_SUBSCRIBERS,-5758,16,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-05-23,DELTA_ACTIVE_SUBSCRIBERS,-5795,37,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-05-24,DELTA_ACTIVE_SUBSCRIBERS,-5797,2,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-05-25,DELTA_ACTIVE_SUBSCRIBERS,-5815,18,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-05-26,DELTA_ACTIVE_SUBSCRIBERS,-5838,23,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-05-27,DELTA_ACTIVE_SUBSCRIBERS,-5804,34,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-05-28,DELTA_ACTIVE_SUBSCRIBERS,-5791,13,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-05-29,DELTA_ACTIVE_SUBSCRIBERS,-5789,2,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-05-30,DELTA_ACTIVE_SUBSCRIBERS,-5818,29,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-05-31,DELTA_ACTIVE_SUBSCRIBERS,-5858,40,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-06-01,DELTA_ACTIVE_SUBSCRIBERS,-5834,24,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-06-02,DELTA_ACTIVE_SUBSCRIBERS,-5823,11,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-06-03,DELTA_ACTIVE_SUBSCRIBERS,-5828,5,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-06-04,DELTA_ACTIVE_SUBSCRIBERS,-5842,14,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-06-05,DELTA_ACTIVE_SUBSCRIBERS,-5855,13,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-06-06,DELTA_ACTIVE_SUBSCRIBERS,-5879,24,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-06-07,DELTA_ACTIVE_SUBSCRIBERS,-5910,31,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-06-08,DELTA_ACTIVE_SUBSCRIBERS,-5907,3,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-06-09,DELTA_ACTIVE_SUBSCRIBERS,-5890,17,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-06-10,DELTA_ACTIVE_SUBSCRIBERS,-5878,12,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-06-11,DELTA_ACTIVE_SUBSCRIBERS,-5886,8,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-06-12,DELTA_ACTIVE_SUBSCRIBERS,-5857,29,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-06-13,DELTA_ACTIVE_SUBSCRIBERS,-5830,27,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
